"Date","Price","Open","High","Low","Vol.","Change %"
"11/25/2022","3.6175","3.6397","3.6885","3.6110","","-0.60%"
"11/24/2022","3.6395","3.6472","3.6710","3.6240","","0.59%"
"11/23/2022","3.6180","3.6195","3.6565","3.5910","38.11K","0.10%"
"11/22/2022","3.6145","3.5815","3.6690","3.5740","55.77K","1.20%"
"11/21/2022","3.5715","3.6435","3.6480","3.5475","53.99K","-2.06%"
"11/20/2022","3.6465","3.6375","3.6480","3.6365","","0.40%"
"11/18/2022","3.6320","3.6895","3.7075","3.6275","53.23K","-1.52%"
"11/17/2022","3.6880","3.7610","3.7725","3.6650","56.36K","-2.27%"
"11/16/2022","3.7735","3.8190","3.8235","3.7490","58.48K","-1.22%"
"11/15/2022","3.8200","3.8380","3.8890","3.7915","81.58K","-0.35%"
"11/14/2022","3.8335","3.9325","3.9600","3.8165","93.35K","-2.04%"
"11/11/2022","3.9135","3.7780","3.9445","3.7615","","4.14%"
"11/10/2022","3.7580","3.6780","3.7925","3.6285","98.31K","1.57%"
"11/09/2022","3.7000","3.6615","3.7480","3.6270","100.62K","0.48%"
"11/08/2022","3.6825","3.6005","3.6995","3.5625","95.73K","2.19%"
"11/07/2022","3.6035","3.6450","3.6605","3.5780","102.96K","-2.25%"
"11/04/2022","3.6865","3.4255","3.7085","3.4180","163.69K","7.57%"
"11/03/2022","3.4270","3.4395","3.4645","3.3795","83.86K","-1.20%"
"11/02/2022","3.4685","3.4715","3.5160","3.4330","72.68K","-0.12%"
"11/01/2022","3.4725","3.3800","3.5015","3.3780","80.77K","2.89%"
"10/31/2022","3.3750","3.4300","3.4435","3.3615","66.57K","-1.57%"
"10/28/2022","3.4290","3.5265","3.5300","3.4160","73.93K","-2.57%"
"10/27/2022","3.5195","3.5390","3.5565","3.4910","82.34K","-0.72%"
"10/26/2022","3.5450","3.4055","3.5545","3.3825","97.90K","4.36%"
"10/25/2022","3.3970","3.4315","3.4410","3.3625","60.02K","-0.98%"
"10/24/2022","3.4305","3.4850","3.5045","3.4225","70.07K","-1.27%"
"10/21/2022","3.4745","3.3980","3.4825","3.3455","84.80K","1.88%"
"10/20/2022","3.4105","3.3255","3.4370","3.3030","77.24K","2.79%"
"10/19/2022","3.3180","3.3660","3.3755","3.3070","65.74K","-1.31%"
"10/18/2022","3.3620","3.4130","3.4355","3.3390","72.59K","-1.57%"
"10/17/2022","3.4155","3.4125","3.4675","3.3905","56.83K","-0.23%"
"10/14/2022","3.4235","3.4635","3.5010","3.4005","70.50K","-0.49%"
"10/13/2022","3.4405","3.4285","3.4770","3.3540","85.97K","0.45%"
"10/12/2022","3.4250","3.4245","3.4650","3.3980","56.58K","-1.07%"
"10/11/2022","3.4620","3.4365","3.4745","3.3835","60.60K","0.92%"
"10/10/2022","3.4305","3.3840","3.4770","3.3710","58.57K","1.30%"
"10/07/2022","3.3865","3.4395","3.4480","3.3730","53.15K","-1.73%"
"10/06/2022","3.4460","3.5415","3.5930","3.4310","67.87K","-1.56%"
"10/05/2022","3.5005","3.4940","3.5555","3.4465","59.97K","0.30%"
"10/04/2022","3.4900","3.4165","3.5315","3.4020","76.84K","2.35%"
"10/03/2022","3.4100","3.3965","3.4240","3.3520","49.58K","-0.07%"
"09/30/2022","3.4125","3.4270","3.4745","3.3885","75.36K","-0.16%"
"09/29/2022","3.4180","3.3810","3.4335","3.3055","86.45K","1.35%"
"09/28/2022","3.3725","3.3040","3.4030","3.2590","1.00K","2.35%"
"09/27/2022","3.2950","3.3050","3.3615","3.2900","0.18K","-0.30%"
"09/26/2022","3.3050","3.3565","3.3690","3.2935","0.51K","-1.55%"
"09/23/2022","3.3570","3.4700","3.4700","3.3375","0.32K","-3.59%"
"09/22/2022","3.4820","3.4510","3.5160","3.4390","0.14K","0.04%"
"09/21/2022","3.4805","3.5095","3.5235","3.4350","0.30K","-1.01%"
"09/20/2022","3.5160","3.5405","3.5575","3.5000","0.22K","-0.27%"
"09/19/2022","3.5255","3.5400","3.5410","3.4900","0.08K","-0.16%"
"09/16/2022","3.5310","3.4800","3.5540","3.4435","0.14K","0.86%"
"09/15/2022","3.5010","3.5290","3.5600","3.4830","0.16K","-0.81%"
"09/14/2022","3.5295","3.5405","3.5640","3.5205","0.18K","-1.02%"
"09/13/2022","3.5660","3.6205","3.6950","3.5365","0.42K","-1.37%"
"09/12/2022","3.6155","3.5540","3.6225","3.5370","0.34K","1.19%"
"09/09/2022","3.5730","3.5635","3.6265","3.5430","0.14K","1.20%"
