Year,Country of origin,Country of origin (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2017,Benin,BEN,572,1131,0,,0,0,6
2017,Malaysia,MYS,540,9478,0,,0,0,0
2017,Bolivia (Plurinational State of),BOL,520,865,0,,0,0,0
2017,Bahrain,BHR,497,172,0,,0,0,0
2017,Chile,CHL,493,350,0,,0,0,0
2017,Israel,ISR,469,691,0,,0,0,0
2017,South Africa,ZAF,461,1608,0,,0,0,5
2017,Philippines,PHL,445,8081,311943,,0,0,80049
2017,Malawi,MWI,434,3154,0,,0,0,0
2017,Dominican Rep.,DOM,427,3159,0,,0,0,0
2017,Papua New Guinea,PNG,406,372,0,,0,0,0
2017,Bahamas,BHS,378,235,0,,0,0,0
2017,Turkmenistan,TKM,365,1115,0,,0,0,0
2017,Trinidad and Tobago,TTO,310,303,0,,0,0,15
2017,United States of America,USA,310,2196,0,,0,0,6
2017,Madagascar,MDG,292,73,0,,0,0,5
2017,Estonia,EST,288,42,0,,0,0,0
2017,Botswana,BWA,279,95,0,,0,0,0
2017,Guyana,GUY,260,482,0,,0,0,0
2017,Zambia,ZMB,260,164,0,,0,0,5
2017,Rep. of Korea,KOR,239,381,0,,0,0,0
2017,Eswatini,SWZ,231,40,0,,0,0,0
2017,Gabon,GAB,216,696,0,,0,0,0
2017,Costa Rica,CRI,195,486,0,,0,0,0
2017,Barbados,BRB,172,76,0,,0,0,0
2017,Thailand,THA,164,1333,0,,0,0,0
2017,Latvia,LVA,162,105,0,,0,0,0
2017,United Arab Emirates,ARE,137,207,0,,0,0,0
2017,Mauritius,MUS,130,229,0,,0,0,0
2017,Equatorial Guinea,GNQ,127,110,0,,0,0,0
2017,Argentina,ARG,121,352,0,,0,0,0
2017,Greece,GRC,106,95,0,,0,0,0
2017,Grenada,GRD,103,62,0,,0,0,0
2017,Antigua and Barbuda,ATG,99,63,0,,0,0,0
2017,United Kingdom of Great Britain and Northern Ireland,GBR,85,158,0,,0,0,0
2017,Paraguay,PRY,77,175,0,,0,0,0
2017,Canada,CAN,75,78,0,,0,0,0
2017,Lithuania,LTU,73,95,0,,0,0,0
2017,Germany,DEU,66,179,0,,0,0,0
2017,Belize,BLZ,64,206,0,,0,0,0
2017,Maldives,MDV,64,34,0,,0,0,0
2017,Solomon Islands,SLB,57,106,0,,0,0,0
2017,France,FRA,54,140,0,,0,0,0
2017,Belgium,BEL,52,37,0,,0,0,0
2017,Italy,ITA,52,282,0,,0,0,0
2017,Saint Kitts and Nevis,KNA,51,18,0,,0,0,0
2017,Mozambique,MOZ,48,12581,15128,,0,0,0
2017,Singapore,SGP,48,55,0,,0,0,0
2017,Japan,JPN,44,99,0,,0,0,0
2017,Netherlands,NLD,39,64,0,,0,0,0
2017,Oman,OMN,39,22,0,,0,0,0
2017,Spain,ESP,39,197,0,,0,0,0
2017,Panama,PAN,36,126,0,,0,0,0
2017,Curacao ,CUW,35,0,0,,0,0,0
2017,New Zealand,NZL,34,27,0,,0,0,0
2017,Tonga,TON,34,106,0,,0,0,0
2017,Qatar,QAT,31,39,0,,0,0,0
2017,Sao Tome and Principe,STP,31,23,0,,0,0,0
2017,Dominica,DMA,26,63,0,,0,0,0
2017,Niue,NIU,19,5,0,,0,0,0
2017,Suriname,SUR,17,44,0,,0,0,0
2017,Slovenia,SVN,17,14,0,,0,0,0
2017,Portugal,PRT,16,171,0,,0,0,0
2017,Norway,NOR,15,25,0,,0,0,0
2017,Sweden,SWE,14,18,0,,0,0,0
2017,Turks and Caicos Islands,TCA,14,5,0,,0,0,0
2017,Timor-Leste,TLS,13,5,0,,0,0,0
2017,Uruguay,URY,12,174,0,,0,0,0
2017,"China, Hong Kong SAR",HKG,11,104,0,,0,0,0
2017,Australia,AUS,10,10,0,,0,0,0
2017,Austria,AUT,10,26,0,,0,0,0
2017,Seychelles,SYC,10,5,0,,0,0,0
2017,Marshall Islands,MHL,7,0,0,,0,0,0
2017,Cayman Islands,CYM,6,0,0,,0,0,0
2017,Lesotho,LSO,6,20,0,,0,0,0
2017,Cabo Verde,CPV,5,181,0,,0,0,0
2017,Finland,FIN,5,10,0,,0,0,0
2017,Iceland,ISL,5,0,0,,0,0,0
2017,Monaco,MCO,5,0,0,,0,0,0
2017,Switzerland,CHE,5,10,0,,0,0,0
2017,Andorra,AND,0,5,0,,0,0,0
2017,Brunei Darussalam,BRN,0,9,0,,0,0,0
2017,Cyprus,CYP,0,20,0,,0,0,0
2017,Denmark,DNK,0,21,0,,0,0,0
2017,French Guiana,GUF,0,11,0,,0,0,0
2017,Guadeloupe,GLP,0,37,0,,0,0,0
2017,Ireland,IRL,0,52,0,,0,0,0
2017,"China, Macao SAR",MAC,0,10,0,,0,0,0
2017,Malta,MLT,0,5,0,,0,0,0
2017,Palau,PLW,0,5,0,,0,0,0
2017,Vanuatu,VUT,0,14,0,,0,0,0
2017,Samoa,WSM,0,11,0,,0,0,0
