Year,Country of origin,Country of origin (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2022,Viet Nam,VNM,15654,10496,0,,0,,68
2022,Ghana,GHA,14877,9464,0,,0,,11
2022,Armenia,ARM,14446,10528,0,,0,,5
2022,Congo,COG,14152,12705,134430,,0,,82
2022,Senegal,SEN,13730,18898,0,,0,,75
2022,Indonesia,IDN,13687,6352,0,,0,,177
2022,Tibetan,TIB,12593,0,0,,0,,0
2022,Nicaragua,NIC,12481,224502,0,,0,,30101
2022,Chad,TCD,12431,7731,381289,,0,,101669
2022,Cuba,CUB,12324,107904,0,,0,,67741
2022,Georgia,GEO,11924,20789,291358,,0,,0
2022,Angola,AGO,11684,13991,0,,0,,19185
2022,Cambodia,KHM,11666,826,0,,0,,0
2022,Gambia,GMB,11315,5083,0,,0,,8
2022,Belarus,BLR,8920,7231,0,,0,,0
2022,Morocco,MAR,8523,13700,0,,0,,376
2022,Zimbabwe,ZWE,7828,13645,0,,0,,168
2022,Uganda,UGA,7724,12255,0,,0,,10
2022,Kenya,KEN,7630,10168,0,,0,,5
2022,Togo,TGO,7437,2846,0,,0,,5
2022,Nepal,NPL,7362,11683,0,,0,,428
2022,Algeria,DZA,7129,7247,0,,0,,29
2022,Sierra Leone,SLE,6980,5813,0,,0,,0
2022,Bhutan,BTN,6704,469,0,,0,,0
2022,Lao People's Dem. Rep.,LAO,6635,495,0,,0,,0
2022,Lebanon,LBN,6506,9107,0,,0,,14454
2022,Liberia,LBR,5136,3030,0,,0,,0
2022,Peru,PER,3848,14482,0,,0,,0
2022,Uzbekistan,UZB,3760,6020,0,,0,,0
2022,Rep. of Moldova,MDA,3620,6412,0,,0,,0
2022,Kazakhstan,KAZ,3583,6261,0,,0,,0
2022,Jordan,JOR,3257,5954,0,,0,,1208
2022,Kyrgyzstan,KGZ,3257,3025,0,,0,,0
2022,Tajikistan,TJK,3107,2345,0,,0,,0
2022,Tunisia,TUN,2479,6722,0,,0,,0
2022,Mongolia,MNG,2412,4657,0,,0,,5
2022,Ecuador,ECU,2377,34670,0,,0,,3084
2022,Romania,ROU,2283,5238,0,,0,,0
2022,Brazil,BRA,2271,35297,0,,0,,0
2022,Guinea-Bissau,GNB,2049,2384,0,,0,,9
2022,Hungary,HUN,1952,762,0,,0,,0
2022,Saudi Arabia,SAU,1908,1644,0,,0,,33
2022,North Macedonia,MKD,1901,3288,0,,0,,5
2022,Jamaica,JAM,1848,2738,0,,0,,0
2022,Kuwait,KWT,1793,2146,0,,0,,5
2022,Turkmenistan,TKM,1754,808,0,,0,,0
2022,Comoros,COM,1739,1425,0,,0,,0
2022,Djibouti,DJI,1690,1040,0,,0,,0
2022,Malaysia,MYS,1253,20785,0,,0,,0
2022,Chile,CHL,1238,9991,0,,0,,0
2022,United States of America,USA,1009,1621,0,,0,,6
2022,Poland,POL,953,1025,0,,0,,0
2022,Benin,BEN,784,1352,0,,0,,0
2022,United Rep. of Tanzania,TZA,761,1839,0,,0,,32
2022,South Africa,ZAF,740,3462,0,,0,,6
2022,Gabon,GAB,674,723,0,,0,,0
2022,Dominican Rep.,DOM,665,5273,0,,0,,0
2022,Bahamas,BHS,628,877,0,,0,,0
2022,Montenegro,MNE,616,865,0,,0,,0
2022,Czechia,CZE,611,152,0,,0,,0
2022,Bulgaria,BGR,606,343,0,,0,,5
2022,Slovakia,SVK,602,172,0,,0,,0
2022,Israel,ISR,582,900,0,,0,,0
2022,Bolivia (Plurinational State of),BOL,562,1805,0,,0,,0
2022,Philippines,PHL,546,5539,99970,,0,,180326
2022,Malawi,MWI,531,1975,0,,0,,0
2022,Papua New Guinea,PNG,531,618,24000,,0,,0
2022,Madagascar,MDG,460,506,0,,0,,12
2022,Fiji,FJI,368,3173,0,,0,,0
2022,Bahrain,BHR,356,147,0,,0,,0
2022,Dem. People's Rep. of Korea,PRK,295,104,0,,0,,0
2022,Zambia,ZMB,293,518,0,,0,,5
2022,Trinidad and Tobago,TTO,291,585,0,,0,,555
2022,Namibia,NAM,281,1178,0,,0,,40
2022,Costa Rica,CRI,256,1090,0,,0,,0
2022,Guyana,GUY,228,874,0,,0,,0
2022,Thailand,THA,206,2974,0,,0,,0
2022,Mauritius,MUS,202,378,0,,0,,0
2022,Barbados,BRB,192,169,0,,0,,0
2022,United Arab Emirates,ARE,180,206,0,,0,,0
2022,Equatorial Guinea,GNQ,165,296,0,,0,,0
2022,Argentina,ARG,164,2075,0,,0,,0
2022,United Kingdom of Great Britain and Northern Ireland,GBR,163,340,0,,0,,0
2022,Estonia,EST,162,52,0,,0,,0
2022,Paraguay,PRY,138,1101,0,,0,,0
2022,Eswatini,SWZ,134,91,0,,0,,12
2022,Canada,CAN,131,186,0,,0,,0
2022,Saint Vincent and the Grenadines,VCT,129,106,0,,0,,0
2022,Rep. of Korea,KOR,124,917,0,,0,,0
2022,Panama,PAN,124,742,0,,0,,0
2022,Greece,GRC,113,190,0,,0,,0
2022,"China, Hong Kong SAR",HKG,108,761,0,,0,,0
2022,Italy,ITA,107,787,0,,0,,0
2022,Latvia,LVA,106,122,0,,0,,0
2022,Mozambique,MOZ,104,8754,872188,,0,,9
2022,Germany,DEU,102,285,0,,0,,0
2022,Iceland,ISL,92,9,0,,0,,0
2022,Saint Lucia,LCA,87,104,0,,0,,0
2022,Maldives,MDV,84,109,0,,0,,0
2022,Uruguay,URY,69,599,0,,0,,0
2022,Belize,BLZ,64,400,0,,0,,0
2022,Lithuania,LTU,63,95,0,,0,,0
2022,Botswana,BWA,62,404,0,,0,,27
2022,Japan,JPN,59,138,0,,0,,0
2022,Oman,OMN,59,74,0,,0,,783
2022,Spain,ESP,59,487,0,,0,,0
2022,France,FRA,57,339,0,,0,,0
2022,Grenada,GRD,52,99,0,,0,,0
2022,Dominica,DMA,50,153,0,,0,,0
2022,Antigua and Barbuda,ATG,49,55,0,,0,,0
2022,Netherlands,NLD,48,111,0,,0,,0
2022,Solomon Islands,SLB,43,447,0,,0,,0
2022,New Zealand,NZL,41,37,0,,0,,0
2022,Qatar,QAT,41,53,0,,0,,0
2022,Suriname,SUR,36,123,0,,0,,0
2022,Curacao ,CUW,35,0,0,,0,,0
2022,Australia,AUS,34,41,0,,0,,0
2022,Tonga,TON,29,978,0,,0,,0
2022,Portugal,PRT,28,533,0,,0,,0
2022,Belgium,BEL,27,96,0,,0,,0
2022,Austria,AUT,26,5,0,,0,,0
2022,Ireland,IRL,23,173,0,,0,,0
2022,Singapore,SGP,23,105,0,,0,,0
2022,Saint Kitts and Nevis,KNA,20,41,0,,0,,0
2022,Sweden,SWE,16,65,0,,0,,0
2022,Turks and Caicos Islands,TCA,14,0,0,,0,,0
2022,Slovenia,SVN,12,20,0,,0,,0
2022,Cabo Verde,CPV,10,280,0,,0,,0
2022,Lesotho,LSO,10,46,0,,0,,6
2022,Norway,NOR,10,16,0,,0,,0
2022,Niue,NIU,9,5,0,,0,,0
2022,Seychelles,SYC,9,0,0,,0,,0
2022,French Guiana,GUF,7,114,0,,0,,0
2022,Samoa,WSM,7,224,0,,0,,0
2022,Marshall Islands,MHL,6,5,0,,0,,0
2022,Sao Tome and Principe,STP,6,19,0,,0,,0
2022,Timor-Leste,TLS,6,393,0,,0,,0
2022,Andorra,AND,5,6,0,,0,,0
2022,Cayman Islands,CYM,5,0,0,,0,,0
2022,Finland,FIN,5,10,0,,0,,0
2022,Liechtenstein,LIE,5,0,0,,0,,0
2022,Nauru,NRU,5,16,0,,0,,0
2022,Switzerland,CHE,5,21,0,,0,,0
2022,Anguilla,AIA,0,5,0,,0,,0
2022,Brunei Darussalam,BRN,0,6,0,,0,,0
2022,Cyprus,CYP,0,27,0,,0,,0
2022,Denmark,DNK,0,27,0,,0,,0
2022,Guadeloupe,GLP,0,85,0,,0,,0
2022,Kiribati,KIR,0,10,0,,0,,0
2022,"China, Macao SAR",MAC,0,33,0,,0,,0
2022,Martinique,MTQ,0,361,0,,0,,0
2022,Malta,MLT,0,15,0,,0,,0
2022,Vanuatu,VUT,0,440,0,,0,,0
2022,Holy See,VAT,0,13,0,,0,,0
