Year,Country of origin,Country of origin (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2022,Syrian Arab Rep.,SYR,6824062,131923,6754277,,0,,4618
2022,Ukraine,UKR,5437961,42120,6275000,,0,,55717
2022,Afghanistan,AFG,2840672,270533,3393176,,0,,96531
2022,South Sudan,SSD,2362756,5272,2229657,,0,,107
2022,Myanmar,MMR,1209086,50005,1099103,,0,,214
2022,Dem. Rep. of the Congo,COD,909850,142253,5338418,,0,,15927
2022,Sudan,SDN,844260,83177,3036593,,0,,2070
2022,Somalia,SOM,799145,56879,2967500,,0,,125
2022,Central African Rep.,CAF,737883,14094,610265,,0,,2237
2022,Eritrea,ERI,501677,76071,0,,0,,9892
2022,Nigeria,NGA,400633,88084,3098404,,0,,7
2022,Iraq,IRQ,345305,240468,1177234,,0,,29344
2022,Burundi,BDI,318980,52391,7631,,0,,6079
2022,Rwanda,RWA,248423,22907,0,,0,,13335
2022,Venezuela (Bolivarian Republic of),VEN,211944,1039207,0,5342069,0,,3223895
2022,Mali,MLI,200471,21371,377519,,0,,15
2022,China,CHN,164342,116868,0,,0,,0
2022,Ethiopia,ETH,151843,144204,4500000,,0,,3984
2022,Sri Lanka,LKA,144757,13220,8540,,0,,11
2022,Iran (Islamic Rep. of),IRN,142346,64937,0,,0,,372
2022,Cameroon,CMR,138249,21688,933138,,0,,32
2022,Pakistan,PAK,123218,58244,98898,,0,,29074
2022,Western Sahara,ESH,116938,671,0,,0,,0
2022,Colombia,COL,116150,104195,6746833,,0,,519784
2022,Palestinian,PSE,103001,8050,0,,0,,2109
2022,Türkiye,TUR,102429,51444,0,,0,,308
2022,Unknown ,,95002,51514,0,,0,,15456
2022,Russian Federation,RUS,75851,49384,0,,0,,7468
2022,Stateless,XXA,57999,5341,0,,4345302,,16552
2022,Honduras,HND,57492,181038,247090,,0,,37100
2022,El Salvador,SLV,54777,151770,71500,,0,,26056
2022,Azerbaijan,AZE,41632,5324,654839,,0,,0
2022,Yemen,YEM,40900,36775,4288739,,0,,41
2022,Mauritania,MRT,36785,8352,0,,0,,0
2022,Guinea,GIN,36026,25163,0,,0,,49
2022,Serbia and Kosovo: S/RES/1244 (1999),SRB,30937,5547,211740,,0,,121
2022,Cote d'Ivoire,CIV,29593,22019,0,,0,,5
2022,Burkina Faso,BFA,29116,23244,1902150,,0,,0
2022,Haiti,HTI,28981,147576,0,,0,,12505
2022,Guatemala,GTM,28421,162785,0,,0,,111329
2022,Egypt,EGY,25222,24173,0,,0,,120
2022,Bangladesh,BGD,23388,67080,0,,0,,1378
2022,Albania,ALB,20263,24519,0,,0,,0
2022,Bosnia and Herzegovina,BIH,18176,1401,96305,,0,,21
2022,Libya,LBY,17934,5570,159996,,0,,59
2022,Croatia,HRV,17867,56,0,,0,,5
2022,Niger,NER,17280,3764,264257,,0,,38956
2022,India,IND,17001,82125,0,,0,,443
2022,Mexico,MEX,16224,115723,0,,0,,5
